2,2,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,-0.009,-1.066,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,-0.009,+1.262,2,+0.000,+0.000,-0.163,+0.186
DRV,66794,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00049,+0.0026,+0.0000,-0.104,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,-0.008,-1.424,2,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,-0.008,+1.253,2,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,-0.008,-1.066,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,-0.008,+1.263,2,+0.000,+0.000,-0.161,+0.188
DRV,66798,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00049,-0.0009,+0.0000,+0.034,2,1,+0.000,-0.000,-0.05664,-0.000,-1.416,+0.001,+0.000,+0.003,-1.412,2,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,+0.003,+1.264,0,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,+0.003,-1.054,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,+0.003,+1.274,2,-0.000,+0.000,-0.138,+0.210
DRV,66802,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00051,-0.0043,+0.0000,+0.172,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,+0.014,-1.402,0,+0.000,-0.004,+0.05047,-0.004,+1.262,+0.008,+0.000,+0.014,+1.283,2,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,+0.014,-1.043,2,+0.000,-0.007,+0.05086,-0.007,+1.271,+0.014,+0.000,+0.014,+1.299,2,-0.007,-0.004,-0.103,+0.240
DRV,66806,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00052,-0.0035,+0.0000,+0.140,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,+0.011,-1.405,0,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,+0.011,+1.273,2,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,+0.011,-1.046,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,+0.011,+1.283,2,+0.000,+0.000,-0.122,+0.227
DRV,66810,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00053,-0.0027,+0.0000,+0.108,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,+0.009,-1.407,2,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,+0.009,+1.270,2,+0.000,-0.001,-0.04229,-00,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00054,+0.0026,+0.0000,-0.105,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,-0.008,-1.424,2,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,-0.008,+1.253,0,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,-0.008,-1.066,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,-0.008,+1.263,2,+0.000,+0.000,-0.161,+0.188
DRV,66838,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00053,+0.0032,+0.0000,-0.126,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,-0.010,-1.426,0,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,-0.010,+1.252,0,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,-0.010,-1.067,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,-0.010,+1.261,2,+0.000,+0.000,-0.165,+0.184
DRV,66842,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00051,+0.0037,+0.0000,-0.147,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,-0.012,-1.428,0,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,-0.012,+1.250,0,+0.000,+0.001,-0.04229,+0.001,-1.057,-0.002,+0.000,-0.012,-1.071,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,-0.012,+1.260,0,+0.000,+0.001,-0.168,+0.179
DRV,66846,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00050,+0.0015,+0.0000,-0.062,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,-0.005,-1.421,0,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,-0.005,+1.257,2,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,-0.005,-1.062,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,-0.005,+1.266,0,+0.000,+0.000,-0.155,+0.195
DRV,66850,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00050,-0.0006,+0.0000,+0.023,2,1,+0.000,-0.008,-0.05664,-0.008,-1.416,+0.015,+0.000,+0.002,-1.399,2,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,+0.002,+1.264,2,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,+0.002,-1.055,0,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,+0.002,+1.273,0,-0.008,+0.000,-0.126,+0.208
DRV,66854,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00051,-0.0022,+0.0000,+0.087,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,+0.007,-1.409,2,+0.000,-0.001,+0.05047,-0.001,+1.262,+0.002,+0.000,+0.007,+1.271,2,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,+0.007,-1.050,0,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,+0.007,+1.278,2,+0.000,-0.001,-0.131,+0.220
DRV,66858,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00052,-0.0022,+0.0000,+0.087,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,+0.007,-1.409,2,+0.000,-0.001,+0.05047,-0.001,+1.262,+0.002,+0.000,+0.007,+1.271,2,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,+0.007,-1.050,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,+0.007,+1.278,2,+0.000,-0.001,-0.131,+0.220
DRV,66862,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00053,-0.0032,+0.0000,+0.129,2,1,+0.000,+0.000,-0.05664,+0.000,-1.416,+0.000,+0.000,+0.010,-1.406,2,+0.000,+0.000,+0.05047,+0.000,+1.262,+0.000,+0.000,+0.010,+1.272,2,+0.000,+0.000,-0.04229,+0.000,-1.057,+0.000,+0.000,+0.010,-1.047,2,+0.000,+0.000,+0.05086,+0.000,+1.271,+0.000,+0.000,+0.010,+1.282,2,+0.000,+0.000,-0.124,+0.225
