DRV,16238,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00644,+0.0031,+0.0000,-0.125,+0.000,+0.000,-0.01419,+0.000,-0.355,+0.000,+0.000,-0.010,-0.365,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.010,+1.821,0,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.010,-1.271,0,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.010,+0.720,2,+0.000,+0.000,+0.355,+0.550
DRV,16242,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00643,+0.0039,+0.0000,-0.157,+0.000,+0.000,-0.01419,+0.000,-0.355,+0.000,+0.000,-0.013,-0.367,0,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.013,+1.818,0,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.013,-1.273,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.013,+0.718,2,+0.000,+0.000,+0.350,+0.545
DRV,16246,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00641,+0.0047,+0.0000,-0.189,+0.000,+0.000,-0.01419,+0.000,-0.355,+0.000,+0.000,-0.015,-0.370,0,+0.000,+0.004,+0.07323,+0.004,+1.831,-0.008,+0.000,-0.015,+1.808,0,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.015,-1.276,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.015,+0.715,2,+0.000,+0.004,+0.345,+0.532
DRV,16250,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00639,+0.0044,+0.0000,-0.178,+0.000,+0.000,-0.01419,+0.000,-0.355,-0.001,+0.000,-0.014,-0.370,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.014,+1.817,2,+0.000,+0.002,-0.05042,+0.002,-1.261,-0.004,+0.000,-0.014,-1.279,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.014,+0.716,2,+0.000,+0.002,+0.346,+0.538
DRV,16254,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00638,+0.0042,+0.0000,-0.167,+0.000,+0.001,-0.01458,+0.001,-0.364,-0.002,+0.000,-0.013,-0.380,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.013,+1.818,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.013,-1.274,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.013,+0.717,2,+0.001,+0.000,+0.337,+0.544
DRV,16258,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00636,+0.0044,+0.0000,-0.177,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.014,-0.379,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.014,+1.817,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.014,-1.275,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.014,+0.716,2,+0.000,+0.000,+0.337,+0.542
DRV,16262,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00634,+0.0047,+0.0000,-0.187,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.015,-0.379,2,+0.000,-0.001,+0.07323,-0.001,+1.831,+0.003,+0.000,-0.015,+1.819,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.015,-1.276,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.015,+0.715,2,+0.000,-0.001,+0.336,+0.543
DRV,16266,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00632,+0.0041,+0.0000,-0.166,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.013,-0.378,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.013,+1.818,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.013,-1.274,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.013,+0.717,2,+0.000,+0.000,+0.339,+0.544
DRV,16270,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00631,+0.0036,+0.0000,-0.144,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.012,-0.376,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.012,+1.819,2,+0.000,+0.000,-0.05042,+0.000,-1.261,-0.001,+0.000,-0.012,-1.273,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.012,+0.719,0,+0.000,+0.000,+0.343,+0.546
DRV,16274,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00629,+0.0025,+0.0000,-0.101,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.008,-0.373,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.008,+1.823,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.008,-1.269,0,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.008,+0.722,2,+0.000,+0.000,+0.350,+0.554
DRV,16278,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00629,+0.0015,+0.0000,-0.058,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.005,-0.369,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.005,+1.826,0,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.005,-1.265,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.005,+0.726,2,+0.000,+0.000,+0.356,+0.561
DRV,16282,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00628,+0.0017,+0.0000,-0.069,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.006,-0.370,0,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.006,+1.825,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.006,-1.266,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.006,+0.725,2,+0.000,+0.000,+0.355,+0.559
DRV,16286,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00627,+0.0020,+0.0000,-0.079,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.006,-0.371,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.006,+1.825,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.006,-1.267,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.006,+0.724,2,+0.000,+0.000,+0.353,+0.558
DRV,16290,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00627,+0.0020,+0.0000,-0.079,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.006,-0.371,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.006,+1.825,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.006,-1.267,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.006,+0.724,2,+0.000,+0.000,+0.353,+0.558
DRV,16294,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00626,+0.0020,+0.0000,-0.079,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.006,-0.371,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.006,+1.825,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.006,-1.267,2,+0.000,-0.001,+0.02921,-0.001,+0.730,+0.002,+0.000,-0.006,+0.726,2,-0.001,+0.000,+0.355,+0.558
DRV,16298,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00625,+0.0017,+0.0000,-0.068,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.005,-0.370,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.005,+1.825,2,+0.000,-0.002,-0.05042,-0.002,-1.261,+0.004,+0.000,-0.005,-1.262,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.005,+0.725,2,+0.000,-0.002,+0.355,+0.563
DRV,16302,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00625,+0.0014,+0.0000,-0.058,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.005,-0.369,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.005,+1.826,2,+0.000,+0.000,-0.05042,+0.000,-1.261,+0.000,+0.000,-0.005,-1.265,2,+0.000,+0.000,+0.02921,+0.000,+0.730,+0.000,+0.000,-0.005,+0.726,2,+0.000,+0.000,+0.357,+0.561
DRV,16306,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00624,+0.0022,+0.0000,-0.089,+0.000,+0.000,-0.01458,+0.000,-0.364,+0.000,+0.000,-0.007,-0.372,2,+0.000,+0.000,+0.07323,+0.000,+1.831,+0.000,+0.000,-0.007,+1.824,2,+0.000,-0.002,-0.05042,-0.002,-1.261,+0.004,+0.000,-0.007,-1.264,2,+0.000,-0.001,+0.02921,-0.001,+0.730,+0.003,+0.000,-0.007,+0.726,0,-0.001,-0.002,+0.354,+0.560
DRV,16310,+0.0000,+0.0000,+0.0000,+0.
DRV,720898,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,+0.00030,-0.2094,+0.0000,+8.374,+0.000,+0.041,-0.10311,+0.041,-2.578,-0.083,+0.000,+0.670,-1.991,0,+0.000,+0.009,+0.09178,+0.009,+2.295,-0.018,+0.000,+0.670,+2.946,0,+0.000,-0.023,-0.08773,-0.023,-2.193,+0.046,+0.000,+0.670,-1.477,2,+0.000,-0.020,+0.09412,-0.020,+2.353,+0.039,+0.000,+0.670,+3.062,0,+0.022,-0.014,+1.071,+1.469
DRV,720902,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00042,-0.1528,+0.0000,+6.112,+0.000,+0.020,-0.10541,+0.020,-2.635,-0.039,+0.000,+0.489,-2.185,0,+0.000,-0.000,+0.09216,-0.000,+2.304,+0.001,+0.000,+0.489,+2.794,2,+0.000,+0.080,-0.08965,+0.080,-2.241,-0.160,+0.000,+0.489,-1.912,0,+0.000,+0.063,+0.09258,+0.063,+2.315,-0.127,+0.000,+0.489,+2.677,0,+0.083,+0.080,+0.491,+0.882
DRV,720906,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00081,-0.0964,+0.0000,+3.857,+0.000,-0.007,-0.10503,-0.007,-2.626,+0.014,+0.000,+0.309,-2.303,2,+0.000,+0.095,+0.09025,+0.095,+2.256,-0.191,+0.000,+0.309,+2.374,2,+0.000,-0.001,-0.09003,-0.001,-2.251,+0.002,+0.000,+0.309,-1.940,0,+0.000,+0.000,+0.09181,+0.000,+2.295,+0.000,+0.000,+0.309,+2.604,2,-0.007,+0.094,+0.301,+0.434
DRV,720910,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00100,-0.0002,+0.0000,+0.007,+0.000,+0.128,-0.10733,+0.128,-2.683,-0.256,+0.000,+0.001,-2.938,2,+0.000,+0.000,+0.08948,+0.000,+2.237,+0.000,+0.000,+0.001,+2.238,2,+0.000,+0.124,-0.09156,+0.124,-2.289,-0.249,+0.000,+0.001,-2.537,2,+0.000,+0.101,+0.09028,+0.101,+2.257,-0.202,+0.000,+0.001,+2.055,2,+0.229,+0.124,-0.883,-0.300
DRV,720914,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00062,+0.0958,+0.0000,-3.831,+0.000,+0.011,-0.10886,+0.011,-2.722,-0.022,+0.000,-0.306,-3.050,2,+0.000,+0.112,+0.08756,+0.112,+2.189,-0.224,+0.000,-0.306,+1.658,2,+0.000,+0.032,-0.09386,+0.032,-2.347,-0.064,+0.000,-0.306,-2.717,2,+0.000,+0.046,+0.08798,+0.046,+2.199,-0.093,+0.000,-0.306,+1.801,2,+0.057,+0.144,-1.249,-1.058
DRV,720918,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,-0.00012,+0.1538,+0.0000,-6.154,+0.000,+0.032,-0.10886,+0.032,-2.722,-0.065,+0.000,-0.492,-3.279,2,+0.000,-0.010,+0.08680,-0.010,+2.170,+0.021,+0.000,-0.492,+1.699,2,+0.000,-0.004,-0.09348,-0.004,-2.337,+0.008,+0.000,-0.492,-2.822,2,+0.000,-0.002,+0.08798,-0.002,+2.199,+0.004,+0.000,-0.492,+1.711,2,+0.031,-0.014,-1.568,-1.123
DRV,720922,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,+0.00073,+0.2117,+0.0000,-8.470,+0.000,+0.017,-0.11040,+0.017,-2.760,-0.033,+0.000,-0.678,-3.471,2,+0.000,+0.000,+0.08718,+0.000,+2.179,+0.000,+0.000,-0.678,+1.502,2,+0.000,+0.055,-0.09578,+0.055,-2.395,-0.111,+0.000,-0.678,-3.183,2,+0.000,+0.057,+0.08645,+0.057,+2.161,-0.113,+0.000,-0.678,+1.370,2,+0.073,+0.055,-2.101,-1.681
DRV,720926,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,+0.00152,+0.1855,+0.0000,-7.420,+0.000,-0.035,-0.10925,-0.035,-2.731,+0.071,+0.000,-0.594,-3.254,2,+0.000,-0.001,+0.08718,-0.001,+2.179,+0.002,+0.000,-0.594,+1.588,2,+0.000,-0.083,-0.09386,-0.083,-2.347,+0.167,+0.000,-0.594,-2.773,2,+0.000,-0.057,+0.08721,-0.057,+2.180,+0.114,+0.000,-0.594,+1.701,2,-0.093,-0.084,-1.553,-1.186
DRV,720930,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,+0.00216,+0.1594,+0.0000,-6.374,+0.000,-0.008,-0.10925,-0.008,-2.731,+0.016,+0.000,-0.510,-3.225,2,+0.000,-0.057,+0.08833,-0.057,+2.208,+0.113,+0.000,-0.510,+1.812,0,+0.000,+0.013,-0.09386,+0.013,-2.347,-0.026,+0.000,-0.510,-2.882,2,+0.000,+0.000,+0.08760,+0.000,+2.190,+0.000,+0.000,-0.510,+1.680,2,-0.008,-0.044,-1.545,-1.071
DRV,720934,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,+0.00260,+0.0598,+0.0000,-2.392,+0.000,-0.102,-0.10656,-0.102,-2.664,+0.203,+0.000,-0.191,-2.652,0,+0.000,-0.058,+0.08948,-0.058,+2.237,+0.115,+0.000,-0.191,+2.161,0,+0.000,-0.144,-0.09156,-0.144,-2.289,+0.288,+0.000,-0.191,-2.192,2,+0.000,-0.124,+0.08951,-0.124,+2.238,+0.248,+0.000,-0.191,+2.294,0,-0.226,-0.202,-0.358,-0.031
DRV,720938,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,+0.00244,-0.0395,+0.0000,+1.578,+0.000,+0.000,-0.10579,+0.000,-2.645,+0.000,+0.000,+0.126,-2.519,0,+0.000,-0.100,+0.09140,-0.100,+2.285,+0.200,+0.000,+0.126,+2.611,2,+0.000,+0.000,-0.09003,+0.000,-2.251,+0.000,+0.000,+0.126,-2.124,0,+0.000,-0.012,+0.09105,-0.012,+2.276,+0.025,+0.000,+0.126,+2.427,0,-0.012,-0.100,-0.091,+0.487
DRV,720942,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.000,+0.000,+0.00212,-0.1224,+0.0000,+4.895,+0.000,-0.099,-0.10464,-0.099,-2.616,+0.197,+0.000,+0.392,-2.027,2,+0.000,+0.009,+0.09178,+0.009,+2.295,-0.018,+0.000,+0.392,+2.668,2,+0.000,-0.109,-0.08926,-0.109,-2.232,+0.218,+0.000,+0.392,-1.622,0,+0.000,-0.041,+0.09143,-0.041,+2.286,+0.083,+0.000,+0.392,+2.760,2,-0.140,-0.100,+0.733,+1.046
